Breed Name,Picture,URL,Adapts Well To Apartment Living,Good For Novice Owner,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,Affectionate With Family,Kid Friendly,Dog Friendly,Stranger Friendly,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Weight Gain Potential,Size,Easy To Train,Intelligence,Mouthiness Potential,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,High Energy Level,Intensity,Playfulness,Adaptability,Friendliness,Health And Grooming,Trainability,Exercise Needs
Norwegian Buhund,https://dogtime.com/wp-content/uploads/sites/12/2024/02/GettyImages-1437317346-e1708448344400.jpg?w=1024,https://dogtime.com/dog-breeds/norwegian-buhund,3,3,3,4,5,2,5,5,3,3,3,1,2,4,3,3,4,3,3,2,4,4,4,4,5,3.3333,4.0000,2.6667,3.3333,4.3333
Norwegian Elkhound,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-998836628-e1694711983854.jpg?w=1024,https://dogtime.com/dog-breeds/norwegian-elkhound,4,4,4,2,5,3,5,4,4,4,5,1,3,4,4,3,2,4,3,4,4,4,5,3,4,3.6667,4.2500,3.3333,3.5000,4.0000
Norwegian Lundehund,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-187452016-e1692375524799.jpg,https://dogtime.com/dog-breeds/norwegian-lundehund,1,1,3,2,5,3,5,5,5,5,5,1,4,3,3,3,4,5,3,2,1,5,4,4,5,2.5000,5.0000,3.1667,3.3333,4.3333
Norwich Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-187066830-e1693694782266.jpg?w=1024,https://dogtime.com/dog-breeds/norwich-terrier,5,3,4,2,4,4,5,5,5,5,2,1,2,4,5,1,4,4,4,3,4,4,5,4,5,3.6667,5.0000,2.5000,3.8333,4.6667
Nova Scotia Duck Tolling Retriever,https://dogtime.com/wp-content/uploads/sites/12/2023/07/GettyImages-1280594384-1-e1692383020758.jpg?w=1024,https://dogtime.com/dog-breeds/nova-scotia-duck-tolling-retriever,5,3,3,2,4,4,5,5,4,4,3,1,5,4,4,3,4,5,4,5,4,3,5,3,5,3.5000,4.5000,3.3333,4.1667,4.3333
Old English Sheepdog,https://dogtime.com/wp-content/uploads/sites/12/2023/12/GettyImages-93392743-e1702002148104.jpg?w=1024,https://dogtime.com/dog-breeds/old-english-sheepdog,5,4,4,2,4,2,5,4,4,4,1,4,1,4,4,4,3,4,2,3,1,2,4,3,4,3.5000,4.2500,3.0000,2.5000,3.6667
Otterhound,https://www.yourpurebredpuppy.com/dogbreeds/photos-MNOP/otterhoundsf2.jpg,https://dogtime.com/dog-breeds/otterhound,1,4,2,5,4,3,5,5,5,4,4,1,2,4,3,4,2,4,3,5,2,5,5,4,5,3.1667,4.7500,3.0000,3.5000,4.6667
Papillon,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-919583490-e1692807780270.jpg?w=1024,https://dogtime.com/dog-breeds/papillon,5,5,3,1,2,4,5,3,4,5,2,1,3,3,3,1,5,4,3,4,2,1,4,3,5,3.3333,4.2500,2.1667,3.1667,4.0000
Papipoo,https://dogtime.com/wp-content/uploads/sites/12/2020/01/papipoo-mixed-dog-breed-pictures-cover-1.jpg,https://dogtime.com/dog-breeds/papipoo,5,5,4,1,2,4,5,3,4,4,1,1,2,3,3,1,5,5,3,3,2,2,5,3,5,3.5000,4.0000,1.8333,3.3333,4.3333
Peekapoo,https://dogtime.com/wp-content/uploads/sites/12/gallery/peekapoo-dog-breed-pictures/gaceblack-3.jpg,https://dogtime.com/dog-breeds/peekapoo,5,5,4,2,3,2,5,4,4,3,2,1,2,3,4,1,3,4,4,3,4,1,3,2,4,3.5000,4.0000,2.1667,3.1667,3.0000
Pekingese,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-592689430-e1701106534817.jpg?w=1024,https://dogtime.com/dog-breeds/pekingese,5,4,2,3,4,1,5,2,2,2,4,1,1,2,3,1,3,4,3,5,4,3,2,1,3,3.1667,2.7500,2.0000,3.6667,2.0000
Pembroke Welsh Corgi,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1193591781-e1689606163833.jpg?w=1024,https://dogtime.com/dog-breeds/pembroke-welsh-corgi,4,4,4,3,4,3,5,4,3,5,5,1,4,3,4,2,5,5,2,3,2,2,4,3,4,3.6667,4.2500,3.1667,3.1667,3.6667
Petit Basset Griffon Vendeen,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1326613987-e1710166248668.jpg?w=1024,https://dogtime.com/dog-breeds/petit-basset-griffon-vendeen,4,3,3,3,4,3,5,5,5,5,4,1,2,3,4,2,1,4,3,5,5,5,5,4,5,3.3333,5.0000,2.6667,3.8333,4.6667
Pharaoh Hound,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-87733113-e1694530361947.jpg?w=1024,https://dogtime.com/dog-breeds/pharaoh-hound,4,4,5,2,1,5,5,5,5,4,2,1,4,5,3,3,3,4,4,5,4,4,2,3,4,3.5000,4.7500,3.0000,4.0000,3.0000
Pitsky,https://dogtime.com/wp-content/uploads/sites/12/2019/07/pitsky-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/pitsky,2,1,4,1,3,3,5,5,3,5,4,2,3,4,2,3,3,3,4,3,4,4,4,4,5,2.3333,4.5000,3.0000,3.5000,4.3333
Plott,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-1249959818-1-e1705507108397.jpg?w=1024,https://dogtime.com/dog-breeds/plott,1,1,4,2,2,4,4,3,5,3,2,1,5,5,3,3,4,3,3,5,1,5,4,4,3,2.3333,3.7500,3.1667,3.5000,3.6667
Pocket Beagle,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-106558201-e1704373936986.jpg?w=1024,https://dogtime.com/dog-breeds/pocket-beagle,4,3,4,2,2,4,5,5,5,4,3,1,5,3,5,2,3,4,4,3,5,5,4,4,4,3.1667,4.7500,3.1667,4.0000,4.0000
Pointer,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-130406055-e1693514779447.jpg?w=1024,https://dogtime.com/dog-breeds/pointer,1,1,3,1,2,4,5,5,5,5,3,1,5,3,3,3,5,5,5,5,3,5,5,5,5,2.0000,5.0000,3.0000,4.6667,5.0000
Polish Lowland Sheepdog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1179752527-e1695392708571.jpg,https://dogtime.com/dog-breeds/polish-lowland-sheepdog,4,2,4,3,4,4,5,4,3,3,1,1,1,4,3,3,4,4,3,3,2,3,4,3,4,3.5000,3.7500,2.1667,3.1667,3.6667
Pomapoo,https://dogtime.com/wp-content/uploads/sites/12/2019/08/GettyImages-1255276036-e1707598584889.jpg?w=1024,https://dogtime.com/dog-breeds/pomapoo,5,5,4,1,3,2,5,3,3,3,3,1,1,3,4,1,4,4,3,2,3,1,3,3,4,3.3333,3.5000,2.1667,2.8333,3.3333
Pomchi,https://dogtime.com/wp-content/uploads/sites/12/2019/08/pomchi-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/pomchi,4,3,3,3,2,4,4,3,3,3,3,1,2,5,4,1,3,4,4,3,4,3,3,4,4,3.1667,3.2500,2.6667,3.5000,3.6667
Pomeagle,https://dogtime.com/wp-content/uploads/sites/12/2019/08/pomeagle-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/pomeagle,4,4,4,1,3,2,5,3,3,3,4,1,2,3,4,1,3,2,3,3,5,4,4,3,4,3.0000,3.5000,2.5000,3.3333,3.6667
Pomeranian,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-654892254-e1689593598708.jpg?w=1024,https://dogtime.com/dog-breeds/pomeranian,4,4,4,1,4,2,5,2,2,3,4,1,2,3,4,1,4,4,2,2,5,1,3,2,3,3.1667,3.0000,2.5000,3.0000,2.6667
Pomsky,https://dogtime.com/wp-content/uploads/sites/12/2017/10/GettyImages-1454876890-e1692571487351.jpg?w=1024,https://dogtime.com/dog-breeds/pomsky,5,2,4,1,5,3,5,2,3,3,4,1,2,3,3,2,3,4,3,4,5,2,4,2,4,3.3333,3.2500,2.5000,3.5000,3.3333
Poochon,https://dogtime.com/wp-content/uploads/sites/12/2024/02/GettyImages-1816855440-e1709074098535.jpg?w=1024,https://dogtime.com/dog-breeds/poochon,5,5,5,1,3,4,5,5,4,4,1,1,1,3,4,2,5,4,3,3,2,2,4,3,5,3.8333,4.5000,2.0000,3.1667,4.0000
Poodle,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-182816790-e1698160624173.jpg,https://dogtime.com/dog-breeds/poodle,5,5,4,1,3,4,5,5,4,4,1,1,1,2,4,4,5,5,4,2,2,3,4,3,5,3.6667,4.5000,2.1667,3.5000,4.0000
Portuguese Podengo Pequeno,https://dogtime.com/wp-content/uploads/sites/12/2019/09/GettyImages-157767491-e1707428265826.jpg?w=1024,https://dogtime.com/dog-breeds/portuguese-podengo-pequeno,5,4,3,3,2,3,4,4,4,4,3,1,4,4,2,1,4,3,3,4,4,3,5,3,3,3.3333,4.0000,2.5000,3.5000,3.6667
Portuguese Water Dog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1354073544-e1693697432472.jpg?w=1024,https://dogtime.com/dog-breeds/portuguese-water-dog,4,3,4,2,4,3,5,5,5,3,1,1,2,4,3,3,4,5,5,3,3,3,5,3,5,3.3333,4.5000,2.3333,3.8333,4.3333
Pug,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-sb10066858aa-001-e1693353192358.jpg,https://dogtime.com/dog-breeds/pug,5,5,3,1,2,1,5,4,4,4,5,1,5,1,5,2,3,2,2,3,2,2,3,4,5,2.8333,4.2500,3.1667,2.3333,4.0000
Pugalier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-141824266-e1695067970518.jpg?w=1024,https://dogtime.com/dog-breeds/pugalier,5,5,5,2,2,2,5,5,5,5,4,1,4,3,5,2,4,3,3,3,3,2,3,3,5,3.5000,5.0000,3.1667,3.0000,3.6667
Puggle,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-173812656-e1692210730692.jpg?w=1024,https://dogtime.com/dog-breeds/puggle,4,5,3,3,3,3,3,5,5,5,3,1,5,4,5,2,2,3,3,2,4,5,3,2,3,3.5000,4.5000,3.3333,3.1667,2.6667
Puli,"https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1132440533.jpg?resize=1536,1026",https://dogtime.com/dog-breeds/puli,4,1,4,2,4,3,5,5,5,2,1,1,1,5,3,3,2,4,3,4,4,5,5,5,5,3.0000,4.2500,2.3333,3.6667,5.0000
Pyrenean Shepherd,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-144327004-e1707071663361.jpg?w=1024,https://dogtime.com/dog-breeds/pyrenean-shepherd,5,2,4,1,4,3,5,5,2,2,3,1,3,2,3,2,2,4,3,4,5,2,4,5,5,3.1667,3.5000,2.3333,3.3333,4.6667
Rat Terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-501597845-e1692138856217.jpg?w=1024,https://dogtime.com/dog-breeds/rat-terrier,5,3,4,3,1,4,4,5,3,4,4,1,5,4,3,1,5,4,2,4,1,4,5,4,5,3.3333,4.0000,3.0000,3.3333,4.6667
Redbone Coonhound,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-478044020-e1695634157315.jpg?w=1024,https://dogtime.com/dog-breeds/redbone-coonhound,4,2,5,2,3,2,5,5,4,3,2,4,5,3,3,3,3,4,4,4,4,5,4,4,5,3.0000,4.2500,3.3333,4.0000,4.3333
Rhodesian Ridgeback,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-975716310-e1688262804516.jpg?w=1024,https://dogtime.com/dog-breeds/rhodesian-ridgeback,1,2,4,2,3,3,5,4,4,3,4,1,5,4,3,4,2,4,3,5,1,5,4,4,5,2.5000,4.0000,3.5000,3.3333,4.3333
Rottador,https://dogtime.com/wp-content/uploads/sites/12/2019/11/rottador-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/rottador,3,2,5,1,4,3,5,4,3,3,4,4,5,2,5,4,4,5,4,3,4,3,5,5,5,3.0000,3.7500,4.0000,3.8333,5.0000
Rottle,https://dogtime.com/wp-content/uploads/sites/12/2019/12/rottle-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/rottle,4,3,3,3,3,3,5,4,3,3,2,2,4,4,3,3,5,5,3,3,2,2,4,3,5,3.1667,3.7500,3.0000,3.3333,4.0000
Rottweiler,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-1198147566-e1701133343267.jpg?w=1024,https://dogtime.com/dog-breeds/rottweiler,2,1,4,1,2,3,5,4,2,4,4,4,5,2,5,3,4,5,3,4,4,2,4,4,5,2.1667,3.7500,3.8333,3.6667,4.3333
Saint Berdoodle,https://dogtime.com/wp-content/uploads/sites/12/2019/08/Jungle-Curl-Collage-e1707072995312.png,https://dogtime.com/dog-breeds/saint-berdoodle,2,5,3,2,4,3,5,5,5,4,3,1,4,4,3,4,4,4,3,3,3,3,3,3,3,3.1667,4.7500,3.1667,3.3333,3.0000
Saint Bernard,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-587079387-e1693516546155.jpg?w=1024,https://dogtime.com/dog-breeds/saint-bernard,3,2,4,1,5,1,5,5,5,5,4,5,2,2,4,5,2,4,3,1,1,2,3,2,4,2.6667,5.0000,3.6667,2.1667,3.0000
Saluki,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1395012589-e1693920667739.jpg?w=1024,https://dogtime.com/dog-breeds/saluki,1,2,5,1,2,3,5,4,4,1,2,1,4,4,1,4,4,4,4,5,1,5,5,2,5,2.3333,3.5000,2.6667,3.8333,4.0000
Samoyed,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-997016774-e1694111248101.jpg?w=1024,https://dogtime.com/dog-breeds/samoyed,2,2,4,2,5,1,5,5,5,5,5,2,1,3,4,3,3,3,3,5,3,4,5,2,5,2.6667,5.0000,3.0000,3.5000,4.0000
Samusky,https://dogtime.com/wp-content/uploads/sites/12/2019/12/samusky-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/samusky,2,3,3,2,5,3,4,5,4,4,4,2,2,3,4,4,3,5,3,3,2,4,5,3,5,3.0000,4.2500,3.1667,3.3333,4.3333
Schipperke,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1227082883-e1697817166227.jpg?w=1024,https://dogtime.com/dog-breeds/schipperke,4,4,4,3,3,2,4,5,2,2,3,1,5,4,5,1,2,4,3,2,4,5,5,3,5,3.3333,3.2500,3.1667,3.3333,4.3333
Schnoodle,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1177553118-e1691704553367.jpg?w=1024,https://dogtime.com/dog-breeds/schnoodle,3,5,4,2,2,4,4,5,3,3,2,1,4,3,4,4,4,5,3,3,2,3,4,3,4,3.3333,3.7500,3.0000,3.3333,3.6667
Scottish Deerhound,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-705005211-e1694536944778.jpg?w=1024,https://dogtime.com/dog-breeds/scottish-deerhound,1,1,3,2,4,4,5,4,2,5,5,1,2,3,4,5,2,3,4,5,1,4,5,5,5,2.5000,4.0000,3.3333,3.1667,5.0000
Scottish Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-122599859-e1696958039342.jpg?w=1024,https://dogtime.com/dog-breeds/scottish-terrier,4,2,4,3,4,3,5,4,4,4,2,1,2,4,3,2,1,4,3,3,4,5,4,4,4,3.3333,4.2500,2.3333,3.3333,4.0000
Sealyham Terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1250645922-1-e1692385289996.jpg?w=1024,https://dogtime.com/dog-breeds/sealyham-terrier,4,4,4,2,4,3,4,4,4,3,4,3,1,5,3,2,3,4,2,2,2,3,4,2,4,3.5000,3.7500,3.0000,2.6667,3.3333
Sheepadoodle,https://dogtime.com/wp-content/uploads/sites/12/2020/01/sheepadoodle-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/sheepadoodle,4,4,5,2,4,3,5,5,4,4,1,1,3,4,4,4,3,5,3,1,2,2,4,3,5,3.6667,4.5000,2.8333,2.6667,4.0000
Shepsky,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-992460814-e1705419500212.jpg?w=1024,https://dogtime.com/dog-breeds/shepsky,1,1,4,2,4,3,5,4,3,4,4,2,3,4,2,4,4,5,4,4,3,2,5,4,5,2.5000,4.0000,3.1667,3.6667,4.6667
Shetland Sheepdog,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-518594332-e1692194561378.jpg?w=1024,https://dogtime.com/dog-breeds/shetland-sheepdog,2,3,5,2,4,3,5,5,4,5,5,1,2,4,3,1,5,5,1,3,1,2,4,2,4,3.1667,4.7500,2.6667,2.8333,3.3333
Shiba Inu,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-653001154-e1691965000531.jpg?w=1024,https://dogtime.com/dog-breeds/shiba-inu,5,4,3,5,4,3,4,3,3,3,4,1,4,3,2,2,2,4,4,3,4,4,4,2,3,4.0000,3.2500,2.6667,3.5000,3.0000
Shichon,https://dogtime.com/wp-content/uploads/sites/12/2020/01/shichon-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/shichon,5,4,4,1,2,2,5,5,4,4,1,1,4,4,3,2,3,4,1,1,2,1,4,2,5,3.0000,4.5000,2.5000,2.0000,3.6667
Shih-Poo,https://dogtime.com/wp-content/uploads/sites/12/2023/12/GettyImages-1487826002-e1702396830635.jpg,https://dogtime.com/dog-breeds/shih-poo,5,2,4,2,3,2,5,3,2,4,1,1,2,3,4,1,2,4,3,2,2,2,3,1,4,3.0000,3.5000,2.0000,2.5000,2.6667
Shih Tzu,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-178920540-e1689348859523.jpg?w=1024,https://dogtime.com/dog-breeds/shih-tzu,5,5,3,3,3,1,5,4,4,5,3,1,1,3,4,1,3,4,4,4,2,2,2,3,4,3.3333,4.5000,2.1667,3.1667,3.0000
Shiranian,https://dogtime.com/wp-content/uploads/sites/12/2019/09/shiranian-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/shiranian,4,4,4,2,2,1,5,3,3,4,2,2,2,2,3,2,2,4,1,1,2,2,2,3,4,2.8333,3.7500,2.1667,2.0000,3.0000
Shollie,https://dogtime.com/wp-content/uploads/sites/12/2019/11/shollie-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/shollie,1,2,3,2,4,4,4,4,3,2,4,2,3,3,4,4,4,4,3,3,3,4,5,4,4,2.6667,3.2500,3.3333,3.5000,4.3333
Shorkie,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-519672843-e1698161294142.jpg?w=1024,https://dogtime.com/dog-breeds/shorkie,5,3,3,1,2,2,4,3,2,3,2,1,4,2,3,1,2,3,2,4,4,3,4,3,5,2.6667,3.0000,2.1667,3.0000,4.0000
Siberian Husky,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-1454565264-e1701120522406.jpg?w=1024,https://dogtime.com/dog-breeds/siberian-husky,2,1,4,1,5,3,5,5,5,5,3,3,2,4,2,3,2,3,4,3,5,5,5,3,5,2.6667,5.0000,2.8333,3.6667,4.3333
Silken Windhound,https://dogtime.com/wp-content/uploads/sites/12/2018/10/GettyImages-738776691-e1707006196197.jpg?w=1024,https://dogtime.com/dog-breeds/silken-windhound,4,4,4,2,4,4,5,4,3,4,2,2,4,4,2,3,5,4,3,5,1,4,4,2,5,3.6667,4.0000,2.8333,3.6667,3.6667
Silky Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-494831928-1-e1697051827207.jpg?w=1024,https://dogtime.com/dog-breeds/silky-terrier,5,3,3,3,1,4,4,3,2,3,2,1,4,4,3,1,4,4,2,5,4,3,4,4,4,3.1667,3.0000,2.5000,3.6667,4.0000
Skye Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-821285322-e1694008412391.jpg?w=1024,https://dogtime.com/dog-breeds/skye-terrier,4,4,3,2,4,4,4,4,2,5,3,1,3,5,3,2,2,4,3,4,4,4,3,4,4,3.5000,3.7500,2.8333,3.5000,3.6667
Sloughi,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-451049741-e1695997544502.jpg?w=1024,https://dogtime.com/dog-breeds/sloughi,4,2,4,3,2,3,5,5,4,3,3,1,5,3,2,4,3,4,3,5,2,3,5,3,3,3.0000,4.2500,3.0000,3.3333,3.6667
Small Munsterlander Pointer,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1210390099-e1710119437177.jpg?w=1024,https://dogtime.com/dog-breeds/small-munsterlander-pointer,1,2,3,4,5,3,5,5,5,4,3,1,3,5,3,3,5,5,3,5,3,4,4,5,4,3.0000,4.7500,3.0000,4.1667,4.3333
Soft Coated Wheaten Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-129254124-e1694793485621.jpg?w=1024,https://dogtime.com/dog-breeds/soft-coated-wheaten-terrier,5,4,4,2,2,3,5,5,5,5,2,1,3,4,3,3,4,4,2,3,3,4,4,3,5,3.3333,5.0000,2.6667,3.3333,4.0000
Spanish Mastiff,https://dogtime.com/wp-content/uploads/sites/12/2020/01/GettyImages-1347184243-e1695256198876.jpg?w=1024,https://dogtime.com/dog-breeds/spanish-mastiff,2,1,3,3,4,3,4,4,2,2,3,2,3,4,3,5,2,4,2,1,1,2,3,2,4,2.6667,3.0000,3.3333,2.0000,3.0000
Spinone Italiano,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-934870840-e1700525646592.jpg?w=1024,https://dogtime.com/dog-breeds/spinone-italiano,4,4,5,2,4,3,5,5,5,5,3,4,2,3,2,4,4,4,2,4,2,2,4,2,4,3.6667,5.0000,3.0000,3.0000,3.3333
Springador,https://dogtime.com/wp-content/uploads/sites/12/2019/11/springador-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/springador,2,3,4,1,4,4,4,3,3,3,1,2,4,4,4,4,5,5,2,4,3,4,4,3,4,3.0000,3.2500,3.1667,3.8333,3.6667
Stabyhoun,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-177302476-e1708355460376.jpg?w=1024,https://dogtime.com/dog-breeds/stabyhoun,2,3,4,3,2,2,5,5,4,3,3,1,3,5,3,3,5,5,1,4,3,3,3,4,5,2.6667,4.2500,3.0000,3.5000,4.0000
Staffordshire Bull Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1418252093-e1695215819445.jpg?w=1024,https://dogtime.com/dog-breeds/staffordshire-bull-terrier,3,1,4,2,3,1,5,5,1,5,3,3,5,3,4,2,2,3,2,2,3,4,3,3,5,2.3333,4.0000,3.3333,2.6667,3.6667
Standard Schnauzer,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-186512978-e1698415021170.jpg?w=1024,https://dogtime.com/dog-breeds/standard-schnauzer,4,2,4,2,4,4,4,4,3,2,1,1,2,5,1,3,3,5,3,5,2,5,5,3,5,3.3333,3.2500,2.1667,3.8333,4.3333
Sussex Spaniel,https://www.nativebreed.org/wp-content/uploads/2020/07/Sussex-Spaniel.jpg,https://dogtime.com/dog-breeds/sussex-spaniel,5,5,5,1,5,5,5,5,5,5,3,1,4,4,5,2,3,5,2,1,4,1,2,1,4,4.3333,5.0000,3.1667,2.6667,2.3333
Swedish Vallhund,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1131346877-e1694391250949.jpg?w=1024,https://dogtime.com/dog-breeds/swedish-vallhund,3,1,3,3,4,3,5,4,3,5,4,1,5,4,4,3,5,5,2,4,1,3,5,3,5,2.8333,4.2500,3.5000,3.3333,4.3333
Terripoo,https://dogtime.com/wp-content/uploads/sites/12/2020/01/terripoo-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/terripoo,5,5,2,1,3,4,5,4,3,3,1,1,3,3,3,1,4,5,2,4,3,3,5,3,5,3.3333,3.7500,2.0000,3.5000,4.3333
Texas Heeler,https://dogtime.com/wp-content/uploads/sites/12/2023/09/animal_blur_blurred_background_canine_close_up_dog_domestic_eyes-1491887.jpg,https://dogtime.com/dog-breeds/texas-heeler,2,3,3,3,4,3,4,3,3,3,4,2,3,3,5,3,3,5,4,3,2,4,5,3,4,3.0000,3.2500,3.3333,3.5000,4.0000
Tibetan Mastiff,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1037524792-e1696604393664.jpg?w=1024,https://dogtime.com/dog-breeds/tibetan-mastiff,1,1,5,1,5,2,5,5,5,2,2,2,4,3,4,5,1,5,5,3,2,3,4,2,5,2.5000,4.2500,3.3333,3.1667,3.6667
Tibetan Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-823775834-e1695923749953.jpg,https://dogtime.com/dog-breeds/tibetan-spaniel,5,4,5,1,1,2,5,5,4,3,3,1,4,5,3,1,4,4,3,3,4,3,3,3,4,3.0000,4.2500,2.8333,3.5000,3.3333
Tibetan Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-10069983-e1695050398838.jpg,https://dogtime.com/dog-breeds/tibetan-terrier,5,3,4,1,4,4,5,5,4,3,1,1,1,5,3,2,4,4,2,2,2,3,5,4,5,3.5000,4.2500,2.1667,2.8333,4.6667
Toy Fox Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-533462277-1-e1698438000362.jpg?w=1024,https://dogtime.com/dog-breeds/toy-fox-terrier,5,3,4,1,2,3,5,4,3,3,4,1,5,5,2,1,3,4,2,5,4,4,5,4,5,3.0000,3.7500,3.0000,3.6667,4.6667
Treeing Tennessee Brindle,https://dogtime.com/wp-content/uploads/sites/12/2024/01/Screen-Shot-2024-01-03-at-6.29.33-PM.png,https://dogtime.com/dog-breeds/treeing-tennessee-brindle,1,2,3,2,3,3,4,4,4,3,4,3,5,4,3,3,3,4,3,4,1,1,4,4,3,2.3333,3.7500,3.6667,2.6667,3.6667
Treeing Walker Coonhound,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-167081841-e1691849949983.jpg?w=1024,https://dogtime.com/dog-breeds/treeing-walker-coonhound,1,2,5,2,3,3,4,4,3,3,3,2,5,4,3,4,2,4,3,4,5,5,4,4,3,2.6667,3.5000,3.5000,3.8333,3.6667
Valley Bulldog,https://dogtime.com/wp-content/uploads/sites/12/2019/09/GettyImages-1250734157-e1708871135182.jpg?w=1024,https://dogtime.com/dog-breeds/valley-bulldog,4,3,4,2,1,1,5,4,3,4,4,3,5,3,4,4,3,3,2,3,4,1,4,4,4,2.5000,4.0000,3.8333,2.6667,4.0000
Vizsla,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1365421484-e1694275663873.jpg?w=1024,https://dogtime.com/dog-breeds/vizsla,1,3,5,1,1,4,5,5,5,5,2,1,5,4,2,3,5,4,4,2,5,5,5,4,5,2.5000,5.0000,2.8333,4.1667,4.6667
Weimaraner,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-91815079-e1694183576543.jpg?w=1024,https://dogtime.com/dog-breeds/weimaraner,1,2,5,1,3,4,5,4,3,3,4,4,5,3,2,4,4,5,5,5,2,5,5,5,5,2.6667,3.7500,3.6667,4.3333,5.0000
